Date,Close,Adj Close,Volume,Daily Return,Rolling Volatility,MA_20,MA_50,RSI,Log Return
2020-01-02,123.41000366210938,109.08099365234376,8130800,,,,,,
2020-01-03,122.58000183105467,108.34737396240234,7970500,-0.0067254584449383,,,,,-0.0067481762563427
2020-01-06,122.75,108.49762725830078,6674400,0.0013867737666681,,,,,0.001385813083992
2020-01-07,121.98999786376952,107.82585906982422,7583400,-0.0061915472757508,,,,,-0.0062107943919987
2020-01-08,122.51000213623048,108.28548431396484,5385100,0.0042626624828743,,,,,0.0042536030728333
2020-01-09,123.8499984741211,109.4699249267578,5944000,0.0109381291527381,,,,,0.01087874049282
2020-01-10,123.97000122070312,109.57595825195312,3927100,0.0009686069051957,,,,,0.0009681381082229
2020-01-13,124.87999725341795,110.38030242919922,8409200,0.0073405169352627,,,,,0.0073137064626981
2020-01-14,124.69000244140624,110.21236419677734,7829700,-0.0015214510988461,,,,,-0.0015226096808689
2020-01-15,125.95999908447266,111.33490753173828,4843700,0.0101852758820844,,,,,0.0101337554972497
2020-01-16,126.06999969482422,111.43213653564452,6233700,0.0008733020582831,,,,,0.0008729209519051
2020-01-17,126.41000366210938,111.73268127441406,11315200,0.0026971100807478,,,,,0.0026934794061082
2020-01-21,126.08999633789062,111.44981384277344,8553100,-0.0025316445324167,,,,,-0.002534854563352
2020-01-22,126.30999755859376,111.6442642211914,7396700,0.0017447348875099,,,,70.4223263142153,0.001743214605665
2020-01-23,124.98999786376952,111.13391876220705,11096500,-0.0045711749057995,,,,65.12617276871792,-0.0045816546745752
2020-01-24,125.13999938964844,111.26728057861328,9508600,0.0012000100229669,,,,73.60189842348964,0.0011992905864358
2020-01-27,125.69000244140624,111.75631713867188,9338400,0.004395151544241,,,,74.97260820198728,0.0043855210736333
2020-01-28,126.02999877929688,112.05862426757812,6200200,0.0027050562925328,,,,84.38439331793853,0.0027014042123324
2020-01-29,125.05999755859376,111.1961441040039,5271000,-0.0076966870618967,,,,72.1919354088139,-0.0077264594218395
2020-01-30,125.9499969482422,111.98748779296876,5894400,0.0071166468526524,,110.4334732055664,,70.41876847071194,0.0070914430286016
2020-01-31,124.62000274658205,110.80492401123048,6612900,-0.010559784892438,0.005888184332119949,110.51966972351076,,58.4857433948032,-0.0106159350598716
2020-02-03,125.11000061035156,111.24061584472656,6052300,0.0039320620214668,0.005648362517268921,110.66433181762696,,56.258915498007944,0.0039243516707058
2020-02-04,125.66000366210938,111.72964477539062,6512200,0.0043961364916089,0.005689967898638201,110.82593269348143,,60.545760177324375,0.0043865017104708
