timestamp,open,high,low,close,volume
2024-11-12,10.1250,10.1825,10.1225,10.1225,596853
2024-11-11,10.1900,10.1900,10.1250,10.1675,1117736
2024-11-08,10.1550,10.1625,10.0925,10.1450,441003
2024-11-07,10.1000,10.1175,10.0300,10.0875,537833
2024-11-06,10.0975,10.1150,10.0225,10.0600,478091
2024-11-05,10.1325,10.1325,10.0675,10.0800,361841
2024-11-04,10.1725,10.1850,10.1075,10.1125,318684
2024-11-01,10.0750,10.1852,10.0025,10.1250,2623322
2024-10-31,10.1425,10.1900,10.0800,10.1350,4525863
2024-10-30,10.2950,10.3314,10.1619,10.2250,605068
2024-10-29,10.2875,10.2875,10.2225,10.2225,612840
2024-10-28,10.2475,10.3235,10.2275,10.2750,277078
2024-10-25,10.2900,10.3053,10.2675,10.2950,315694
2024-10-24,10.2775,10.2975,10.2125,10.2675,604025
2024-10-23,10.2875,10.3425,10.2625,10.2775,268738
2024-10-22,10.3175,10.3533,10.2950,10.3150,430579
2024-10-21,10.4025,10.4325,10.3450,10.3450,328372
2024-10-18,10.3300,10.4150,10.3300,10.4075,382461
2024-10-17,10.4150,10.4150,10.3575,10.3900,325713
2024-10-16,10.3200,10.4375,10.3150,10.4075,438812
2024-10-15,10.3000,10.3200,10.2475,10.3200,386959
2024-10-14,10.2600,10.3090,10.2095,10.2475,436111
2024-10-11,10.2600,10.2875,10.2347,10.2725,209566
2024-10-10,10.2925,10.2925,10.2325,10.2500,361333
2024-10-09,10.3325,10.4725,10.2725,10.2800,455002
2024-10-08,10.3000,10.3050,10.2475,10.2725,301296
2024-10-07,10.3200,10.3200,10.2625,10.2625,634087
2024-10-04,10.3800,10.3975,10.3100,10.3175,275643
2024-10-03,10.3775,10.4159,10.3750,10.4100,624510
2024-10-02,10.4600,10.4600,10.3750,10.3950,267199
2024-10-01,10.4200,10.4800,10.4000,10.4500,422945
2024-09-30,10.3850,10.4225,10.3800,10.4025,1691754
2024-09-27,10.4300,10.4300,10.3800,10.4075,953822
2024-09-26,10.4100,10.4300,10.3877,10.4050,161965
2024-09-25,10.4325,10.4775,10.4050,10.4050,255346
2024-09-24,10.4325,10.4875,10.4052,10.4700,441188
2024-09-23,10.4800,10.5150,10.4400,10.4625,446437
2024-09-20,10.4250,10.5275,10.4250,10.4725,741536
2024-09-19,10.5150,10.5875,10.4550,10.4950,260529
2024-09-18,10.5825,10.6300,10.5212,10.5375,200847
2024-09-17,10.6775,10.6775,10.5791,10.5850,190944
2024-09-16,10.6650,10.6675,10.5431,10.6075,137118
2024-09-13,10.5875,10.6850,10.5766,10.5950,128121
2024-09-12,10.5700,10.6450,10.5075,10.5750,157613
2024-09-11,10.5600,10.6000,10.5350,10.6000,207122
2024-09-10,10.5625,10.5675,10.4750,10.5375,219922
2024-09-09,10.4225,10.5150,10.4225,10.5087,183343
2024-09-06,10.5000,10.5400,10.4325,10.4975,772213
2024-09-05,10.4700,10.5075,10.4150,10.4800,428530
2024-09-04,10.5000,10.5000,10.4268,10.4550,276303
2024-09-03,10.4000,10.4400,10.3625,10.4100,285042
2024-09-02,10.4350,10.4350,10.3500,10.3625,144223
2024-08-30,10.4275,10.4425,10.3575,10.3800,484988
2024-08-29,10.3750,10.4550,10.3687,10.3775,610090
2024-08-28,10.4550,10.4775,10.3837,10.3950,398152
2024-08-27,10.4875,10.4875,10.3750,10.3925,189967
2024-08-23,10.4175,10.4600,10.4000,10.4450,216381
2024-08-22,10.5075,10.5075,10.3822,10.3950,307658
2024-08-21,10.4300,10.5050,10.3675,10.4600,236442
2024-08-20,10.4275,10.4775,10.3800,10.4275,266817
2024-08-19,10.4100,10.4650,10.3750,10.4275,303076
2024-08-16,10.4400,10.5075,10.4200,10.4250,521253
2024-08-15,10.4250,10.4950,10.4100,10.4300,194259
2024-08-14,10.4675,10.5100,10.4350,10.5000,276187
2024-08-13,10.3800,10.4670,10.3800,10.4325,348983
2024-08-12,10.3875,10.4425,10.3325,10.4050,342081
2024-08-09,10.3500,10.4200,10.3275,10.3975,203212
