timestamp,open,high,low,close
2024-11-13,0.65313,0.65313,0.65155,0.65242
2024-11-11,0.65801,0.65807,0.65614,0.65688
2024-11-10,0.65846,0.65980,0.65663,0.65846
2024-11-07,0.66768,0.66770,0.65710,0.66768
2024-11-06,0.65670,0.66879,0.65650,0.65670
2024-11-05,0.66415,0.66426,0.65152,0.66415
2024-11-04,0.65841,0.66430,0.65800,0.65841
2024-11-03,0.65919,0.66190,0.65807,0.65919
2024-10-31,0.65768,0.65908,0.65575,0.65768
2024-10-30,0.65728,0.65800,0.65405,0.65728
2024-10-29,0.65630,0.65954,0.65374,0.65630
2024-10-28,0.65827,0.65860,0.65459,0.65827
2024-10-27,0.66034,0.66111,0.65801,0.66034
2024-10-24,0.66370,0.66470,0.66197,0.66370
2024-10-23,0.66360,0.66618,0.66233,0.66360
2024-10-22,0.66860,0.66930,0.66288,0.66860
2024-10-21,0.66531,0.66946,0.66516,0.66531
2024-10-20,0.67168,0.67232,0.66562,0.67168
2024-10-17,0.66997,0.67195,0.66947,0.66997
2024-10-16,0.66649,0.67110,0.66645,0.66649
2024-10-15,0.66821,0.67011,0.66597,0.66821
2024-10-14,0.67260,0.67331,0.67025,0.67260
2024-10-13,0.67311,0.67460,0.67026,0.67311
2024-10-10,0.67410,0.67588,0.67252,0.67410
2024-10-09,0.67174,0.67417,0.67136,0.67174
2024-10-08,0.67396,0.67606,0.67083,0.67396
2024-10-07,0.67560,0.67700,0.67183,0.67560
2024-10-06,0.68006,0.68120,0.67589,0.68006
2024-10-03,0.68503,0.68520,0.67884,0.68503
2024-10-02,0.68871,0.68880,0.68310,0.68871
2024-10-01,0.68800,0.69159,0.68756,0.68800
2024-09-30,0.69158,0.69344,0.68723,0.69158
2024-09-29,0.69188,0.69411,0.69141,0.69188
2024-09-26,0.68928,0.69390,0.68689,0.68928
2024-09-25,0.68216,0.69054,0.68192,0.68216
2024-09-24,0.69054,0.69080,0.68350,0.69054
2024-09-23,0.68341,0.68780,0.68155,0.68341
2024-09-22,0.68100,0.68536,0.68017,0.68100
2024-09-19,0.68096,0.68311,0.67834,0.68096
2024-09-18,0.67637,0.68400,0.67409,0.67637
2024-09-17,0.67627,0.67900,0.67504,0.67627
2024-09-16,0.67519,0.67700,0.67420,0.67519
2024-09-15,0.67138,0.67490,0.67066,0.67138
2024-09-12,0.67269,0.67331,0.66926,0.67269
2024-09-11,0.66770,0.67000,0.66609,0.66770
2024-09-10,0.66533,0.66751,0.66230,0.66533
2024-09-09,0.66579,0.66764,0.66417,0.66579
2024-09-08,0.66708,0.66890,0.66481,0.66708
2024-09-05,0.67405,0.67661,0.66733,0.67405
2024-09-04,0.67162,0.67408,0.67143,0.67162
2024-09-03,0.67140,0.67481,0.66874,0.67140
2024-09-02,0.67873,0.67940,0.67132,0.67873
2024-09-01,0.67680,0.67947,0.67581,0.67680
2024-08-29,0.67958,0.68164,0.67588,0.67958
2024-08-28,0.67831,0.68250,0.67841,0.67831
2024-08-27,0.67879,0.68123,0.67710,0.67879
2024-08-26,0.67729,0.67920,0.67623,0.67729
2024-08-25,0.67878,0.67970,0.67670,0.67878
2024-08-22,0.67082,0.67915,0.67058,0.67082
2024-08-21,0.67497,0.67540,0.67003,0.67497
2024-08-20,0.67473,0.67570,0.67329,0.67473
2024-08-19,0.67353,0.67480,0.67140,0.67353
2024-08-18,0.66730,0.67231,0.66733,0.66730
2024-08-15,0.66125,0.66492,0.66109,0.66125
2024-08-14,0.66000,0.66382,0.65753,0.66000
2024-08-13,0.66386,0.66441,0.66096,0.66386
2024-08-12,0.65853,0.66166,0.65797,0.65853
2024-08-11,0.65698,0.66050,0.65702,0.65698
2024-08-08,0.65920,0.66072,0.65675,0.65920
2024-08-07,0.65160,0.65820,0.65128,0.65160
2024-08-06,0.65150,0.65752,0.65135,0.65150
2024-08-05,0.65155,0.65397,0.64750,0.65155
2024-08-04,0.64972,0.65109,0.63655,0.64972
2024-08-01,0.64949,0.65476,0.64877,0.64949
2024-07-31,0.65470,0.65599,0.65147,0.65470
2024-07-30,0.65415,0.65422,0.64803,0.65415
2024-07-29,0.65514,0.65630,0.65300,0.65514
2024-07-28,0.65550,0.65699,0.65246,0.65550
2024-07-25,0.65430,0.65717,0.65403,0.65430
2024-07-24,0.65748,0.65759,0.65200,0.65748
2024-07-23,0.66121,0.66142,0.65844,0.66121
2024-07-22,0.66401,0.66454,0.66119,0.66401
2024-07-21,0.66963,0.66961,0.66319,0.66963
2024-07-18,0.67055,0.67080,0.66843,0.67055
2024-07-17,0.67307,0.67440,0.67162,0.67307
2024-07-16,0.67320,0.67570,0.67247,0.67320
2024-07-15,0.67633,0.67626,0.67154,0.67633
2024-07-14,0.67720,0.67912,0.67632,0.67720
2024-07-11,0.67685,0.67940,0.67546,0.67685
2024-07-10,0.67518,0.67986,0.67476,0.67518
2024-07-09,0.67415,0.67531,0.67332,0.67415
2024-07-08,0.67432,0.67490,0.67243,0.67432
2024-07-07,0.67466,0.67609,0.67354,0.67466
2024-07-04,0.67251,0.67483,0.67192,0.67251
2024-07-03,0.67109,0.67330,0.67111,0.67109
2024-07-02,0.66683,0.67335,0.66657,0.66683
2024-07-01,0.66546,0.66713,0.66350,0.66546
2024-06-30,0.66740,0.66881,0.66454,0.66740
2024-06-27,0.66506,0.66847,0.66209,0.66506
2024-06-26,0.66448,0.66740,0.66403,0.66448
2024-06-25,0.66448,0.66910,0.66366,0.66448
