Date,Close,Adj Close,Volume,Daily Return,Log Return,MA_20,MA_50,Rolling Volatility,RSI
2020-12-10,144.7100067138672,144.7100067138672,70447500,,,,,,
2020-12-11,139.25,139.25,26980800,-0.0377306783259513,-0.0384609073378297,,,,
2020-12-14,130.0,130.0,16966100,-0.0664272890484739,-0.0687364283518109,,,,
2020-12-15,124.8000030517578,124.8000030517578,10914400,-0.03999997652494,-0.0408219700670679,,,,
2020-12-16,137.99000549316406,137.99000549316406,20409600,0.1056891195422169,0.1004687781833691,,,,
2020-12-17,147.0500030517578,147.0500030517578,15054700,0.0656569113553848,0.0635914271813184,,,,
2020-12-18,157.3000030517578,157.3000030517578,15954200,0.0697041808043503,0.0673821437119059,,,,
2020-12-21,163.02000427246094,163.02000427246094,17788100,0.0363636434185001,0.0357180894094039,,,,
2020-12-22,163.19000244140625,163.19000244140625,9872600,0.0010428055728743,0.0010422622288449,,,,
2020-12-23,158.00999450683594,158.00999450683594,5852500,-0.0317421892093555,-0.0322568937046107,,,,
2020-12-24,154.83999633789062,154.83999633789062,3621400,-0.0200620105002798,-0.020265985340225,,,,
2020-12-28,149.0,149.0,6229200,-0.0377163296048305,-0.038445996113062,,,,
2020-12-29,150.0,150.0,5402300,0.0067114093959732,0.0066889881507967,,,,
2020-12-30,148.42999267578125,148.42999267578125,3462400,-0.0104667154947916,-0.0105218768041817,,,,52.47800781153915
2020-12-31,146.8000030517578,146.8000030517578,2795800,-0.0109815381287786,-0.0110422803231179,,,,51.36262633417403
2021-01-04,139.14999389648438,139.14999389648438,6409900,-0.0521117779035484,-0.0535186928599075,,,,49.93660871112762
2021-01-05,148.3000030517578,148.3000030517578,5974200,0.065756446687883,0.0636848256131101,,,,61.61462286799716
2021-01-06,142.77000427246094,142.77000427246094,4213900,-0.0372892694908905,-0.0380022959955493,,,,61.35760183035996
2021-01-07,151.27000427246094,151.27000427246094,4482800,0.0595363153718107,0.0578313740914389,,,,58.92233027624514
2021-01-08,149.77000427246094,149.77000427246094,4615600,-0.0099160438793818,-0.0099655352869305,147.28250122070312,,,52.03410153687875
2021-01-11,148.1300048828125,148.1300048828125,2801900,-0.0109501191351036,-0.0110105129741352,147.4535011291504,,0.0475361614262041,42.12875899842645
2021-01-12,160.8000030517578,160.8000030517578,8123600,0.0855329626092209,0.0820710761664766,148.53100128173827,,0.049832627032266,48.297545394888964
2021-01-13,169.99000549316406,169.99000549316406,12529700,0.0571517553917471,0.0555782683818492,150.53050155639647,,0.0475645231657212,54.58097651705368
2021-01-14,180.5,180.5,9926500,0.0618271319913485,0.059991133667627,153.31550140380858,,0.046851260949748,64.13576658100901
2021-01-15,169.27000427246094,169.27000427246094,8575700,-0.0622160428118507,-0.0642356793314212,154.87950134277344,,0.0461459569082981,58.235365731104295
