Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DELL,DELL,DELL,DELL,DELL,DELL
Date,,,,,,
2020-02-10,24.652429580688477,26.411556243896484,26.441967010498047,25.62594985961914,25.848960876464844,5327100
2020-02-11,24.723388671875,26.487581253051758,26.913330078125,26.355802536010742,26.4064884185791,8685935
2020-02-12,25.21539878845215,27.014698028564453,27.126203536987305,26.64977264404297,26.725797653198242,6874129
2020-02-13,24.860586166381836,26.634567260742188,26.7764835357666,26.06690216064453,26.330461502075195,6760485
2020-02-14,25.016698837280273,26.80182456970215,27.141408920288086,26.675113677978516,26.837303161621094,4158295
2020-02-18,24.96466636657715,26.74607276916504,26.837303161621094,26.29498291015625,26.507856369018555,5139862
2020-02-19,25.23431968688965,27.034971237182617,27.16168212890625,26.73593521118164,26.811960220336914,5512759
2020-02-20,25.04981803894043,26.837303161621094,27.065383911132812,26.502788543701172,27.034971237182617,5310724
2020-02-21,24.467924118041992,26.213886260986328,26.766345977783203,25.955398559570312,26.71059226989746,4403144
2020-02-24,22.854707717895508,24.48555564880371,25.276229858398438,24.034465789794922,25.22554588317871,7265770
2020-02-25,21.8659610748291,23.426254272460938,24.9366455078125,23.400911331176758,24.860618591308594,6799550
2020-02-26,21.7287654876709,23.27927017211914,23.99391746520996,22.959959030151367,23.679676055908203,6851242
2020-02-27,20.607555389404297,22.078054428100586,23.081602096557617,21.74353790283203,22.569690704345703,11049984
2020-02-28,19.140993118286133,20.5068416595459,21.8499755859375,19.868221282958984,20.881906509399414,16947084
2020-03-02,20.054048538208008,21.485048294067383,21.53573226928711,19.969589233398438,20.638620376586914,7908770
2020-03-03,19.765464782714844,21.175874710083008,22.15407943725586,20.98834228515625,21.626964569091797,9216475
2020-03-04,20.522397994995117,21.9868221282959,21.9868221282959,20.8768367767334,21.53573226928711,6008377
2020-03-05,19.325498580932617,20.704511642456055,21.571210861206055,20.522048950195312,21.30258560180664,7139103
2020-03-06,18.743600845336914,20.08109474182129,20.719715118408203,19.574251174926758,19.76685333251953,8400837
2020-03-09,17.149309158325195,18.373035430908203,18.651798248291016,17.972631454467773,18.48961067199707,10960804
2020-03-10,18.516523361206055,19.837810516357422,19.959453582763672,17.992904663085938,19.10795783996582,9943920
2020-03-11,17.475736618041992,18.72275733947754,19.538772583007812,18.535226821899414,19.077547073364258,9386942
2020-03-12,15.488783836364746,16.594018936157227,17.698936462402344,16.37607765197754,17.222503662109375,13329588
2020-03-13,17.007381439208984,18.220983505249023,18.220983505249023,16.796756744384766,17.83071517944336,9643038
2020-03-16,15.23805046081543,16.325393676757812,17.38976287841797,14.789660453796387,14.789660453796387,10100379
2020-03-17,14.81700325012207,15.874302864074707,16.958946228027344,15.326912879943848,16.629497528076172,9976277
2020-03-18,13.65794563293457,14.632538795471191,15.28129768371582,12.929549217224121,14.698429107666016,9067711
2020-03-19,15.11977767944336,16.19868278503418,16.578813552856445,14.282817840576172,14.698429107666016,8396299
2020-03-20,15.370513916015625,16.467309951782227,18.69741439819336,16.229093551635742,16.644702911376953,13518799
2020-03-23,16.05648422241211,17.20223045349121,18.109477996826172,15.98073959350586,16.725797653198242,7340349
2020-03-24,18.379329681396484,19.690826416015625,19.695894241333008,17.501266479492188,18.479473114013672,7084254
2020-03-25,18.611141204833984,19.939178466796875,21.490116119384766,19.346172332763672,19.954383850097656,7389280
